surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited
Manfrin,726,Spain,Female,56,8,123110.9,3,0,1,130113.78,1
Humphries,783,Spain,Male,39,9,0.0,2,1,0,143752.77,0
Giordano,663,Spain,Female,33,8,96769.04,1,1,1,36864.05,0
Padovesi,632,Spain,Female,40,3,109740.62,1,1,0,141896.74,0
Lumholtz,677,Spain,Female,34,4,0.0,2,1,1,6175.53,0
Walker,686,Germany,Female,39,4,157731.6,2,1,0,162820.6,0
Wan,650,Spain,Male,24,8,108881.73,1,1,0,104492.83,0
Iheanacho,567,Germany,Female,49,5,134956.02,1,1,0,93953.84,1
Tai,681,France,Female,41,0,120549.29,2,1,0,175722.31,0
McIntyre,598,France,Male,28,8,129991.76,2,0,1,46041.08,0
Vincent,642,France,Male,30,8,117494.27,1,0,0,61977.82,0
Pokrovsky,711,France,Male,36,9,137688.71,1,1,1,46884.1,0
Johnston,612,Spain,Female,52,5,144772.69,1,0,0,98302.57,1
Walker,792,France,Female,28,4,130142.79,1,1,0,38190.78,0
Stange,707,France,Female,33,2,58036.33,1,1,1,83335.78,0
Eberechukwu,731,France,Female,38,10,123711.73,2,1,0,171340.68,1
Fleming,827,Spain,Female,35,0,0.0,2,0,1,184514.01,0
Chung,648,Germany,Male,31,7,125681.51,1,0,1,129980.93,0
Wallace,549,France,Female,38,8,107283.4,1,0,0,157442.75,0
Ting,623,France,Male,40,5,118788.57,1,1,0,192867.4,0
Obioma,775,Germany,Female,77,6,135120.56,1,1,0,37836.64,0
Poole,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1
Kung,666,France,Female,66,7,0.0,2,1,1,99792.82,0
Okoli,674,Germany,Female,44,4,131593.85,1,0,1,171345.02,1
Hsieh,644,Germany,Female,32,8,141528.88,1,1,1,167087.34,1
Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1
Russell,643,Germany,Male,59,3,170331.37,1,1,1,32171.79,0
T'ang,710,Spain,Male,62,3,131078.42,2,1,0,119348.76,1
Kinlaw,689,Spain,Female,31,4,0.0,2,1,1,136610.02,0
Bergamaschi,703,France,Male,56,9,0.0,1,0,0,85547.33,1
Hill,529,France,Male,43,6,93616.35,2,0,0,98348.66,0
Millar,766,Germany,Male,43,6,112088.04,2,1,1,36706.56,0
Kennedy,633,France,Female,34,3,123034.43,2,1,1,38315.04,0
Sabbatini,610,Germany,Male,49,6,113882.33,1,1,0,195813.81,1
Matveyeva,623,France,Male,45,0,0.0,1,1,0,196533.72,1
Piccio,695,France,Female,42,0,0.0,2,0,1,140724.64,0
Kennedy,709,France,Female,34,2,111669.68,1,1,0,57029.66,0
Cunningham,706,Germany,Male,36,9,58571.18,2,1,0,40774.01,0
Martin,696,Spain,Male,24,9,0.0,1,0,0,10883.52,0
Gray,675,France,Male,32,1,0.0,3,1,0,85901.09,0
Brown,570,Germany,Female,50,5,129293.74,1,1,0,177805.44,1
Hsing,431,Germany,Female,44,2,138843.7,1,1,0,37688.31,1
Kinney,649,France,Female,36,2,0.0,2,0,1,75035.48,0
Yuryeva,696,France,Male,28,4,172646.82,1,1,1,116471.43,0
Ozerova,539,France,Male,38,5,0.0,2,1,0,47388.41,0
Wood,551,Spain,Male,27,2,113873.22,1,1,1,85129.77,1
Ho,678,Spain,Female,61,8,0.0,2,1,1,159938.82,0
Lin,376,France,Female,46,6,0.0,1,1,0,157333.69,1
Lai,596,Germany,Male,34,4,99441.21,2,0,1,4802.27,0
Walker,631,Germany,Male,37,9,131519.49,2,1,1,51752.18,0
Dilke,627,France,Male,41,3,0.0,2,1,0,132719.8,0
Mackay,580,France,Female,35,1,102097.33,1,0,1,168285.85,0
Olejuru,687,Spain,Male,35,8,100988.39,2,1,0,22247.27,0
Freeman,610,France,Male,40,0,0.0,2,1,0,62232.6,0
Alexander,646,France,Female,46,8,0.0,2,1,0,133059.15,0
Owens,687,Spain,Female,72,4,0.0,2,1,1,50267.69,0
Greece,750,France,Male,36,7,136492.92,3,1,1,26500.29,1
Mazzanti,690,Germany,Male,32,0,106683.52,2,1,1,137916.49,0
Marshall,747,France,Male,41,5,0.0,2,1,1,22750.17,0
Azuka,586,France,Female,28,5,0.0,3,1,0,170487.4,1
Boni,606,Germany,Male,40,1,144757.97,2,1,1,166656.18,0
Atkins,719,Spain,Male,39,5,0.0,2,1,0,145759.7,0
Ponce,603,Germany,Male,35,1,123407.69,1,1,0,152541.89,1
Tsou,474,France,Male,33,5,0.0,2,1,0,181945.52,1
Pisano,678,Germany,Male,49,2,116933.11,1,1,0,195053.58,1
Chiu,712,France,Female,33,6,0.0,2,1,1,190686.16,0
Buda,679,Spain,Male,42,2,0.0,1,1,1,168294.27,0
Johnstone,550,France,Male,44,9,0.0,2,1,0,26257.01,0
Macarthur,544,France,Female,64,3,124043.8,1,1,1,111402.97,1
Wei,652,France,Female,48,8,133297.24,1,1,0,77764.37,0
Yudina,749,Germany,Female,32,7,79523.13,1,0,1,157648.12,0
Kirillova,611,France,Female,49,2,88915.37,3,0,0,161435.02,1
Macleod,632,Germany,Female,38,6,86569.76,2,1,0,98090.91,0
Humphries,704,France,Male,39,2,111525.02,1,1,0,199484.96,0
McMillan,586,Germany,Male,32,1,149814.54,1,1,0,31830.06,0
Efremov,694,France,Female,31,10,0.0,2,1,0,160990.27,0
Matthews,782,France,Female,35,4,0.0,1,1,1,119565.34,0
Carr,698,Spain,Female,47,6,0.0,1,1,0,50213.81,1
Franklin,740,France,Male,36,4,172381.8,1,1,1,86480.29,0
Ugonna,679,France,Male,41,8,147726.98,3,1,0,172749.4,1
Otutodilichukwu,526,Germany,Female,32,6,131938.92,2,1,1,1795.93,0
Adams,539,France,Female,40,7,81132.21,1,1,0,167289.82,0
Summerville,558,Germany,Female,36,0,126606.63,2,1,1,172363.52,0
Quinn,740,France,Male,44,9,0.0,1,0,1,96528.0,1
Milne,475,France,Female,57,1,0.0,2,1,0,89248.99,0
Lung,639,Germany,Male,27,3,150795.81,1,0,1,85208.93,0
Lai,592,France,Female,38,4,0.0,2,1,0,35338.96,0
Parkhill,694,France,Female,33,4,129731.64,2,1,0,178123.86,0
Booth,601,Germany,Male,48,9,163630.76,1,0,1,41816.49,1
Diaz,499,France,Female,21,3,176511.08,1,1,1,153920.22,0
Bevington,733,Germany,Male,34,3,100337.96,3,1,0,48559.19,1
Wilkes,791,Germany,Male,31,1,130240.33,1,0,0,96546.55,0
Wilkinson,778,Spain,Male,33,5,116474.28,2,1,1,32757.55,0
Alexeeva,489,France,Male,34,5,0.0,1,0,0,43540.59,0
Tu,497,Germany,Male,41,5,80542.81,1,0,0,88729.22,1
Hooper,790,Spain,Female,46,9,0.0,1,0,0,14679.81,1
Kovalev,683,Spain,Female,36,7,0.0,2,1,0,104786.59,0
McKay,659,Germany,Female,30,8,154159.51,1,1,0,40441.1,0
Wu,748,France,Male,40,3,95297.11,1,0,0,171515.84,0
McKenzie,591,France,Female,31,7,0.0,2,0,1,48778.46,0
Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0
Stephenson,680,France,Male,34,3,143292.95,1,1,0,66526.01,0
Pritchard,709,France,Female,32,2,0.0,2,0,0,109681.29,0
DeRose,492,France,Male,39,7,0.0,2,0,1,71323.23,0
T'an,581,Germany,Female,38,3,135157.05,1,1,1,32919.42,0
Eluemuno,558,France,Female,41,6,0.0,1,1,1,143585.29,1
Sneddon,678,Spain,Male,38,3,124483.53,1,1,0,126253.31,0
Eidson,723,Germany,Female,47,10,90450.0,2,0,0,103379.31,1
McGregor,646,France,Female,34,3,131283.11,1,0,0,130500.65,0
Webb,545,Spain,Female,44,1,0.0,2,1,1,82614.89,0
Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0
Holden,729,Germany,Male,26,4,97268.1,2,1,0,39356.38,0
Grant,650,Germany,Male,23,4,93911.3,2,1,0,69055.45,0
Yeates,555,France,Male,51,5,0.0,3,1,0,189122.89,1
Fleming,672,Spain,Female,56,2,209767.31,2,1,1,150694.42,1
Toomey,683,France,Male,30,4,66190.33,1,1,1,115186.97,0
Okwuadigbo,569,Spain,Male,38,8,0.0,2,0,0,79618.79,0
Greco,850,France,Male,40,8,102800.65,1,1,0,60811.56,0
Chukwueloka,557,Spain,Male,34,3,0.0,1,0,1,123427.98,0
Gleeson,564,France,Male,35,4,0.0,1,1,0,158937.55,0
Nebeolisa,607,Germany,Male,29,7,102609.0,1,1,0,163257.44,0
Kirk,653,Germany,Male,31,9,143321.97,1,1,0,83679.46,0
Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
Robertson,569,Spain,Male,35,3,116969.35,1,0,0,94488.82,0
Heath,731,Spain,Female,26,3,0.0,2,1,0,37697.29,0
Zito,621,Spain,Male,34,8,0.0,1,0,0,47972.65,0
Ts'ao,706,Germany,Female,48,10,104478.12,3,0,1,158248.71,1
Dowse,682,Spain,Male,46,4,0.0,1,1,1,4654.28,0
Ankudinov,583,France,Female,31,4,158978.79,1,1,0,12538.92,0
Atherton,833,Germany,Male,29,1,96462.25,2,0,1,48986.18,0
Copeland,564,Spain,Male,31,0,125175.58,1,1,1,72757.33,0
Gboliwe,818,Germany,Male,43,10,105301.5,1,1,1,78941.59,0
Chung,638,France,Male,24,1,0.0,2,0,1,162597.15,0
Atkinson,850,Spain,Female,31,3,121237.65,1,1,1,31022.56,0
Calabresi,794,Spain,Male,38,9,179581.31,1,1,0,23596.24,0
Kazakova,762,France,Male,36,5,119547.46,1,1,1,42693.65,0
Carr,650,Spain,Male,25,7,160599.06,2,1,1,28391.52,0
Nnamutaezinwa,539,Germany,Female,38,8,82407.51,1,1,0,13123.41,0
Day,632,Spain,Female,39,5,97854.37,2,1,0,93536.38,0
Fang,606,France,Male,47,3,93578.68,2,0,1,137720.56,1
Yefremova,850,France,Female,39,0,104386.53,1,1,0,105886.77,0
Steen,683,France,Male,36,5,115350.63,1,1,1,122305.91,0
Thompson,685,Spain,Male,23,5,164902.43,1,0,0,141152.28,0
Kenechukwu,477,Germany,Female,24,2,95675.62,2,0,0,162699.7,1
Yevdokimova,609,France,Male,37,1,39344.83,1,1,1,178291.89,1
Madison,523,Spain,Male,34,7,0.0,2,1,0,62030.06,0
Mathews,774,France,Female,32,4,0.0,2,0,0,114899.13,0
Donaldson,660,France,Female,31,6,172325.67,1,0,1,45438.38,0
Gibson,598,France,Male,47,2,0.0,2,1,1,186116.54,0
Ozerova,669,France,Female,44,8,96418.09,1,0,0,131609.48,1
Earle,543,France,Female,34,8,0.0,2,0,1,145601.8,0
Chien,642,Germany,Female,39,8,128264.03,1,1,0,61792.76,1
Murray,699,Germany,Male,59,3,106819.65,1,0,1,163570.25,0
Howe,774,Spain,Female,43,1,110646.54,1,0,0,108804.28,0
Miller,463,France,Male,35,2,101257.16,1,1,1,118113.64,0
Chiedozie,595,Spain,Male,23,7,0.0,2,1,1,168085.97,0
Parsons,841,France,Male,27,8,0.0,1,1,0,171922.72,0
Yu,790,France,Female,41,2,126619.27,1,1,0,198224.38,0
Hardacre,847,Spain,Male,31,5,0.0,2,1,1,76326.67,0
Ewen,643,Spain,Male,34,3,83132.09,1,1,1,21360.88,0
Parsons,684,France,Male,35,3,137179.39,1,1,1,37264.11,0
Onyeorulu,724,Germany,Male,33,5,103564.83,2,1,0,121085.72,0
Bellucci,535,Spain,Male,35,8,118989.92,1,1,1,135536.72,0
Nikitina,668,Germany,Female,28,1,124511.01,1,0,0,114258.18,0
Aliyev,684,Spain,Female,24,9,79263.9,1,0,1,196574.48,0
Campbell,670,Germany,Female,35,2,79585.96,1,0,1,198802.9,0
Ford,680,France,Male,32,5,92961.61,1,1,0,116957.6,0
Hardy,765,Germany,Male,43,4,148962.76,1,0,1,173878.87,1
Shahan,700,France,Female,44,2,58781.76,1,1,0,16874.92,0
Achebe,681,Germany,Male,38,6,181804.34,2,1,1,57517.71,0
Lorenzen,576,Germany,Male,44,9,119530.52,1,1,0,119056.68,1
Grave,826,France,Male,55,4,115285.85,1,1,0,140126.17,0
Onyenachiya,763,France,Male,67,1,149436.73,2,0,1,106282.74,0
Watson,737,France,Male,45,10,0.0,2,1,0,1364.54,0
Tobeolisa,547,France,Female,32,2,0.0,2,1,0,132002.83,0
Davidson,476,Germany,Female,34,8,111905.43,1,0,1,197221.81,1
Lin,568,Germany,Male,46,8,150836.92,1,0,0,64516.8,1
Warlow-Davies,513,Spain,Female,31,5,174853.46,1,1,0,84238.63,0
Watts,820,France,Female,39,1,104614.29,1,1,0,61538.43,1
Sal,744,Germany,Male,38,6,73023.17,2,1,0,78770.86,0
Zetticci,671,France,Male,31,0,116234.61,1,1,0,172096.08,0
Begum,647,Germany,Female,51,1,119741.77,2,0,0,54954.51,1
Rozhkova,596,France,Male,36,2,0.0,2,1,1,12067.39,0
Hsiao,662,France,Male,38,0,105271.56,1,0,1,179833.45,0
Vasilyev,614,Spain,Female,25,10,75212.28,1,1,0,58965.04,0
Fiorentino,496,Germany,Female,59,7,91680.1,2,1,0,163141.18,1
Nicholls,620,France,Female,29,3,0.0,2,0,1,153392.28,0
Hsieh,658,France,Female,40,5,143566.12,1,1,1,189607.71,0
Chioke,753,France,Female,38,6,142263.45,1,0,1,33730.43,0
Ndubuisi,609,France,Male,25,10,0.0,1,0,1,109895.16,0
Artemyeva,630,Spain,Male,26,7,0.0,2,1,1,6656.64,0
Boyle,774,Germany,Male,34,4,120875.23,2,0,1,113407.26,0
Harrison,705,Germany,Male,48,9,114169.16,1,0,0,173273.2,1
Greco,673,Germany,Female,77,10,76510.52,2,0,1,59595.66,0
Sung,850,Germany,Male,55,0,98710.89,1,1,1,83617.17,1
Arcuri,461,France,Female,40,7,0.0,2,1,0,176547.8,0
Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0
Martin,622,Spain,Male,36,9,0.0,2,1,1,104852.6,0
Liao,554,Germany,Male,26,4,121365.39,1,1,1,8742.36,0
Dean,585,Germany,Male,50,2,125845.66,1,1,0,9439.31,1
Chukwuemeka,594,France,Male,37,2,0.0,2,0,1,95864.5,0
Nielson,630,Spain,Male,41,7,107511.52,1,0,1,46156.87,0
Chigolum,714,Spain,Male,20,3,0.0,2,0,1,150465.93,0
Birk,823,France,Male,71,5,149105.08,1,0,1,162683.06,0
Hayward,695,France,Male,43,1,100421.1,1,1,1,101141.28,0
Zetticci,775,Germany,Male,51,2,123783.25,1,1,1,134901.57,0
Truscott,745,Germany,Male,35,4,98270.34,1,1,0,133617.43,0
Huang,752,Germany,Male,30,4,81523.38,1,1,1,36885.85,0
Chao,659,Spain,Female,38,9,0.0,2,1,1,35701.06,0
Kung,681,France,Male,23,7,157761.56,1,0,0,147759.84,0
Jamieson,693,France,Male,37,1,0.0,2,1,1,82867.55,0
Lo,585,France,Male,55,10,106415.57,3,1,1,122960.98,1
Frost,559,Spain,Female,40,5,139129.44,1,0,1,32635.54,0
Bolton,850,France,Male,34,2,72079.71,1,1,1,115767.93,0
Padovano,562,France,Female,27,3,0.0,2,1,0,28137.03,0
Baddeley,525,Spain,Female,25,10,0.0,2,1,0,69361.95,0
Onyeoruru,729,France,Male,67,2,94203.8,1,0,1,102391.06,0
Simpson,850,France,Male,58,8,156652.13,1,0,0,25899.21,1
Fernandez,513,Spain,Female,41,9,107135.04,2,1,1,160546.58,0
Tsai,652,France,Female,40,4,79927.36,2,1,1,33524.6,0
Beale,458,Germany,Male,44,7,84386.57,1,1,0,178642.73,0
Roberts,663,Spain,Male,27,8,0.0,1,1,1,188007.99,0
Wyckoff,642,France,Male,40,8,109219.83,1,1,0,52827.51,0
Pai,633,Germany,Male,50,7,88302.65,1,1,1,195937.16,0
Shih,533,Germany,Male,43,4,80442.06,2,0,1,12537.42,0
Hsing,604,Germany,Male,36,10,113546.3,1,1,1,134875.37,0
Davidson,845,Germany,Female,43,3,152063.59,2,1,0,97910.06,0
Rizzo,535,Spain,Female,49,7,115309.75,1,1,0,111421.77,0
Fraser,677,Germany,Female,26,3,102395.79,1,1,0,119368.99,0
Leach,578,France,Male,45,1,148600.91,1,1,0,143397.14,1
McGregor,586,France,Male,58,7,151933.63,1,1,0,162960.05,1
Reilly,598,Germany,Female,50,5,88379.81,3,0,1,64157.24,1
Dickinson,565,France,Female,38,5,126645.13,1,1,1,168303.55,0
West,674,France,Female,27,4,79144.34,1,0,1,50743.83,0
Nebechi,425,France,Male,39,4,0.0,2,1,0,197226.32,0
Pearce,462,Germany,Male,34,1,94682.56,2,1,0,138478.2,0
McGregor,667,France,Male,43,8,190227.46,1,1,0,97508.04,1
Gilbert,637,Spain,Female,34,9,0.0,2,0,0,26057.08,0
Parry,554,France,Female,44,9,135814.7,2,0,0,115091.38,0
Russell,708,Germany,Male,32,3,151691.44,2,1,1,172810.51,0
Sarratt,558,France,Female,56,7,121235.05,2,1,1,116253.1,0
Pinto,629,France,Female,31,6,0.0,1,1,1,16447.6,1
Pisani,602,France,Male,59,7,0.0,2,1,1,162347.05,0
Yuan,694,France,Female,38,5,195926.39,1,1,1,85522.84,0
Stelzer,610,France,Male,41,6,0.0,3,0,0,56118.81,1
Chuang,542,France,Female,39,4,109949.39,2,1,1,41268.65,0
Hsia,555,Germany,Male,62,4,119817.33,1,0,1,43507.1,1
Hart,636,Spain,Male,36,1,0.0,3,1,1,74048.1,1
Pan,679,Germany,Male,58,8,125850.53,2,1,1,87008.17,0
Remington,836,France,Female,29,9,133681.78,1,1,1,153747.73,0
Marks,637,France,Male,40,8,125470.81,1,1,1,174536.17,0
Ferri,731,Germany,Male,35,2,127862.93,2,1,0,139083.7,0
Paterson,737,Germany,Female,40,2,162485.8,2,1,0,149381.32,0
Dufresne,631,Germany,Female,34,6,125227.82,2,0,1,128247.03,0
Robinson,688,France,Male,20,8,137624.4,2,1,1,197582.79,0
Estrada,754,Spain,Female,19,9,0.0,1,1,0,189641.11,0
Nnachetam,689,Germany,Female,30,5,136650.89,1,1,1,41865.72,1
Nucci,489,Germany,Female,46,8,92060.06,1,1,0,147222.95,1
Hovell,517,France,Male,37,5,113308.84,1,0,1,31517.16,0
Forbes,544,France,Male,30,4,73218.89,1,0,1,126796.69,0
Chimaobim,640,France,Female,29,3,0.0,2,1,0,2743.69,0
Feng,563,Spain,Male,57,6,0.0,2,1,1,39297.48,0
Cantamessa,527,Germany,Female,39,9,96748.89,2,1,0,94711.43,0
Hao,651,Germany,Male,40,1,134760.21,2,0,0,174434.06,1
Konovalova,684,Germany,Male,37,1,126817.13,2,1,1,29995.83,1
Yegorov,707,France,Male,42,2,16893.59,1,1,1,77502.56,0
Robertson,579,France,Male,31,6,0.0,2,1,0,26149.25,0
Yeh,840,France,Female,39,1,94968.97,1,1,0,84487.62,0
Cocci,613,France,Male,40,4,0.0,1,0,0,151325.24,0
Moyes,565,France,Male,55,4,118803.35,2,1,1,128124.7,1
Evseyev,525,France,Male,33,1,112833.35,1,0,1,175178.56,0
Mao,494,Germany,Male,37,5,107106.33,2,1,0,172063.09,0
Oguejiofor,717,France,Male,53,6,0.0,2,0,1,97614.87,0
Trevisani,587,Spain,Male,48,1,0.0,2,1,1,8908.0,0
Ts'ui,463,Spain,Male,20,8,204223.03,1,1,0,128268.39,0
Mancini,718,Spain,Female,49,10,82321.88,1,0,1,11144.4,0
Laurie,646,France,Male,24,8,0.0,2,0,0,92612.88,0
Nwachukwu,520,Spain,Male,43,7,0.0,2,1,1,36202.74,0
Mellor,565,France,Male,34,6,0.0,1,1,1,63173.64,0
Maslova,756,Germany,Female,39,3,100717.85,3,1,1,73406.04,1
Buccho,526,Spain,Male,35,5,0.0,2,1,1,105618.14,0
Fan,659,France,Male,54,8,133436.52,1,1,0,56787.8,0
Osonduagwuike,654,France,Female,37,5,0.0,1,0,1,71492.28,0
Duncan,486,France,Female,39,8,97819.36,1,0,1,120531.31,0
Pan,670,Spain,Male,37,0,178742.71,1,1,1,194493.57,0
Pike,386,Spain,Female,53,1,131955.07,1,1,1,62514.65,1
Zuyev,621,Spain,Male,53,9,170491.84,1,1,0,35588.07,1
Hudson,697,Germany,Male,43,7,115371.94,2,1,0,64139.1,0
Yao,776,Spain,Male,39,2,104349.45,1,0,0,79503.05,0
L?,652,Spain,Female,38,6,123081.84,2,1,1,188657.97,0
Alleyne,620,Germany,Male,40,5,108197.11,2,1,0,49722.34,0
Francis,509,Spain,Male,38,2,0.0,1,0,0,168460.12,0
Summers,743,France,Male,40,8,68155.59,1,1,0,94876.65,0
Kent,422,France,Female,33,2,0.0,2,1,0,102655.31,0
Hsia,762,Spain,Male,29,10,115545.33,2,1,0,148256.43,0
Fleming,812,Spain,Male,38,3,127117.8,2,1,1,174822.74,0
Ramsden,610,Spain,Female,46,5,116886.59,1,0,0,107973.44,0
Sullivan,530,France,Male,52,1,106723.28,1,0,0,109960.4,1
Genovese,644,France,Female,39,9,0.0,1,1,0,3740.93,0
Uspenskaya,634,Germany,Male,37,1,89696.84,2,1,1,193179.88,0
Adams,678,Germany,Male,55,4,129646.91,1,1,1,184125.1,1
Cocci,721,Germany,Female,45,7,138523.2,1,0,0,59604.45,1
Nwebube,630,France,Male,26,7,129837.72,2,0,1,197001.15,0
King,529,France,Female,31,5,0.0,2,1,0,26817.23,0
Abbott,850,France,Male,29,6,0.0,2,1,1,10672.54,0
Olisanugo,694,France,Male,34,5,127900.03,1,1,0,101737.8,0
Hickey,408,France,Female,84,8,87873.39,1,0,0,188484.52,1
H?,723,France,Female,49,4,0.0,2,0,1,89972.25,0
Smith,618,France,Male,37,2,168178.21,2,0,1,101273.23,0
Yen,539,France,Female,22,0,100885.93,2,1,1,38772.65,0
Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1
Meng,564,Spain,Male,31,5,121461.87,1,1,1,20432.09,1
Scott,664,France,Female,41,5,0.0,1,1,1,152054.33,0
Omeokachie,649,Germany,Female,41,4,115897.73,1,1,0,143544.48,0
Beit,493,France,Female,46,4,0.0,2,1,0,1907.66,0
Oguejiofor,576,Spain,Male,33,3,0.0,2,0,1,190112.05,0
Panicucci,601,France,Female,43,2,0.0,1,1,0,49713.87,1
Paten,720,Germany,Female,29,7,106230.92,1,1,1,69903.93,1
Michel,588,Germany,Male,33,9,150186.22,2,1,1,65611.01,0
Allan,844,France,Female,29,8,0.0,2,0,0,147342.03,0
Donnelly,632,Germany,Male,23,3,122478.51,1,1,0,147230.77,1
Meng,780,Spain,Male,47,7,86006.21,1,1,1,37973.13,0
Evseev,619,France,Male,58,5,152199.33,1,1,1,86022.09,0
Burgess,696,Germany,Male,32,4,84421.62,1,0,1,52314.71,0
Ikenna,612,Germany,Female,36,2,130700.92,2,0,0,77592.8,0
Burgin,716,France,Female,52,7,65971.61,2,1,0,14608.0,1
Feng,850,France,Male,47,6,0.0,1,1,0,187391.02,1
Endrizzi,506,Germany,Female,41,3,57745.76,1,1,0,4035.46,0
Folliero,521,Germany,Female,61,0,125193.96,1,1,1,109356.53,0
Pagnotto,561,France,Male,37,5,0.0,2,1,0,83093.25,0
Singleton,567,Spain,Male,34,10,0.0,2,0,1,161571.79,0
Wu,577,France,Male,60,10,125389.7,2,1,1,178616.73,0
Maclean,838,Spain,Female,67,4,103267.8,1,1,1,78310.04,0
Carroll,646,France,Male,40,5,93680.43,2,1,1,179473.26,0
Terry,696,Germany,Male,38,6,142316.14,1,1,1,8018.49,0
Munro,619,France,Female,30,7,70729.17,1,1,1,160948.87,0
Shelby,777,France,Male,29,2,0.0,2,1,0,124489.88,0
Gibson,538,Spain,Male,40,8,0.0,2,1,1,25554.4,0
Nwoye,700,France,Male,26,4,119009.57,1,1,0,141926.43,0
Chijindum,678,France,Male,54,7,128914.97,1,0,0,191746.23,1
Chin,469,France,Male,33,1,127818.52,1,1,0,163477.22,0
Lavrentiev,738,France,Male,49,6,106770.82,1,1,0,123499.27,0
McKenzie,709,Spain,Male,23,10,0.0,2,0,0,129590.18,0
Fu,850,Germany,Male,41,8,60880.68,1,1,0,31825.84,0
Vassiliev,681,France,Male,46,0,105969.42,1,1,0,5771.56,0
Nelson,672,France,Male,31,6,91125.75,1,1,0,177295.92,0
Monaldo,671,France,Male,34,7,106603.74,2,1,1,26387.71,0
Hargreaves,700,Germany,Male,35,4,95853.39,2,1,0,192933.37,0
Pruneda,649,Spain,Male,36,8,0.0,2,1,0,161668.15,0
Hsing,722,France,Female,49,3,168197.66,1,1,0,140765.57,1
Frankland,560,Spain,Female,43,4,95140.44,2,1,0,123181.44,1
Lucas,723,Spain,Male,38,6,0.0,2,1,1,94415.6,0
Nnamdi,500,Germany,Male,30,2,125495.64,2,1,1,68807.47,0
Manna,681,Germany,Male,48,5,139714.4,2,0,0,73066.72,0
Christian,720,France,Male,52,7,0.0,1,1,1,14781.12,0
McIntosh,757,France,Female,51,1,0.0,1,1,1,22835.13,1
Khan,642,France,Female,55,7,0.0,2,1,1,101515.76,0
Wanliss,815,France,Male,45,7,0.0,1,0,1,52885.23,1
Lo,662,France,Female,37,5,0.0,2,1,0,151871.84,0
Crocker,465,Germany,Male,24,5,117154.9,1,1,1,127744.02,0
Fuller,707,France,Male,33,8,136678.52,1,1,0,54290.62,0
Ferri,605,France,Male,39,3,0.0,2,1,0,199390.45,0
Kao,551,France,Female,45,6,0.0,2,1,1,51143.43,0
Lo Duca,685,Spain,Male,40,7,74896.92,1,1,0,198694.2,0
Batt,742,Germany,Female,44,8,107926.02,1,0,1,17375.27,1
Gresswell,586,Germany,Male,46,8,106968.96,1,1,1,79366.98,1
Chung,640,Germany,Male,45,8,120591.19,1,0,0,195123.94,0
Chimaraoke,699,France,Male,44,8,158697.61,1,1,0,107181.22,0
Henty,698,Spain,Female,40,0,92053.44,1,1,1,143681.83,0
Kambinachi,677,Germany,Female,39,0,111213.64,2,1,1,147578.26,0
Keldie,671,France,Female,48,6,119769.77,1,0,1,66032.65,0
Galloway,526,Germany,Male,61,6,133845.28,2,1,1,45180.8,0
Walker,669,Germany,Male,47,0,63723.78,2,1,1,181928.25,0
Fan,696,Germany,Female,66,7,119499.42,2,1,1,174027.3,0
Mao,530,Germany,Male,33,9,75242.28,1,0,1,101694.67,0
Kruglov,684,Spain,Male,40,2,70291.02,1,1,1,115468.84,1
Chang,704,Germany,Female,39,1,124640.51,1,1,0,116511.12,1
Fanucci,708,Spain,Female,64,5,0.0,3,0,1,112520.07,1
Chukwujamuike,766,France,Female,27,7,158786.67,2,0,1,47579.25,0
Power,681,France,Male,29,8,0.0,1,1,0,66367.33,0
White,663,Spain,Female,53,6,150200.23,1,0,1,151317.27,1
Okechukwu,613,Spain,Male,19,5,0.0,1,1,1,176903.35,0
Ikemefuna,684,Spain,Female,36,5,174180.39,1,1,0,119830.08,0
Phillips,710,France,Male,38,2,0.0,2,1,0,96.27,0
Jamieson,600,France,Male,31,8,0.0,2,1,1,121555.51,0
Giles,632,Spain,Male,47,3,0.0,2,1,0,178822.32,0
Lo,496,Spain,Male,29,2,0.0,2,1,0,55389.59,0
Ts'ui,661,Germany,Female,47,0,109493.62,1,0,0,188324.01,1
Morrison,495,France,Male,47,10,137682.68,1,1,0,71071.47,0
McKay,559,France,Female,43,1,0.0,2,1,1,196645.87,0
Davison,512,France,Male,36,4,152169.12,2,0,0,38629.3,1
Molle,636,Germany,Male,30,8,141787.31,2,1,1,109685.61,0
Chigozie,762,France,Male,20,1,139432.55,1,1,1,85606.83,0
Gregory,669,France,Male,45,7,149364.58,1,0,1,173454.07,0
Brazenor,562,France,Male,29,9,0.0,1,1,1,25858.68,0
Coles,669,France,Male,50,4,149713.61,3,1,1,124872.42,1
Sievier,638,Germany,Female,26,1,105249.76,2,1,1,23491.09,0
Clark,656,France,Male,41,2,0.0,2,1,0,158973.77,0
